,id,TYPE,POSTCONDITIONS_ACCEPT_OUTPUT,POSTCONDITIONS_REJECT_OUTPUT,SECOND_PERSON,THIRD_PERSON,QUOTES_SCRIPTURE,SCRIPTURE_BANK_VERSES,POSTCONDITIONS_ACCEPT_CONSEQUENTIAL_ACTIONS,POSTCONDITIONS_REJECT_CONSEQUENTIAL_ACTIONS
36,ROBBERY,TEMPTATION,<1> refuses to rob <2>,<1> beats and robs <2> knowing it is wrong,True,,,,,
37,SMUG_SUPERIORITY,TEMPTATION,<1> judges themselves not to be superior to <2>,<1> smugly judges themselves superior to <2> willfully contrary to the New Law,True,,,,,
38,EXHALT_IN_OWN_STRENGTH,TEMPTATION,"<1> praises God for his strength, and God rewards them with Love for Him",<1> exhaults in their own strength forgetting God,,,,,,
39,ATTRIBUTE_UNPOSSESSED_GOOD,TEMPTATION,<1> develops in self knowledge,<1> rejoices in a good that they know they don't possess,,,,,,
40,CALUMNY,TEMPTATION,<1> refuses to calmuniate <2>,<1> lies about <2> behind their back to <3> to destroy their reputation,True,True,,,,
41,DETRACTION,TEMPTATION,<1> refuses to detract <2> to <3>,<1> spreads secret sins <2> has committed to <3> without <2> knowing to destroy their reputation,True,True,,,,
42,RASH_JUDGEMENT,TEMPTATION,<1> retains equanimity of mind with respect to <2>,<1> rashly judges <2>,True,,,,,
43,GOSSIP,TEMPTATION,<1> refuses to gossip about <2>,<1> gossips about <2> to <3>,True,True,,,,
44,LOANSHARK,TEMPTATION,<1> refuses to loanshark <2>,<1> loansharks <2>,True,,,,,
45,MOCKERY,TEMPTATION,<1> refuses to mock <2>,<1> mocks <2> for who they are,True,,,,,
46,RASH_OATH,TEMPTATION,<1> retains presence of mind and doesn't rashly swear despite temptation.,<1> takes a rash oath,,,,,,
47,IDOLATRY,TEMPTATION,<1> renders worship to God,<1> worships an idol knowing it spites God,,,,,,
48,CAST_SPELL,TEMPTATION,<1> rebukes a thought to engage in magic,<1> engages in Divination knowing it is wrong,,,,,,
49,TEMPT_GOD,TEMPTATION,<1> remembers humility and refuses to tempt God,<1> intentionally tempts God by their thoughts,,,,,,
50,SACRILEGE_EUCHARIST,TEMPTATION,<1> treats the Most Holy Eucharist with the respect owed to God.,<1> commits sacrilege with the Most Holy Eucharist intentionally,,,,,,
51,SACRILEGE_STATUE,TEMPTATION,<1> venerates a sacred statue,<1> destroys a sacred statue intentionally. ,,,,,,
52,SIMONY,TEMPTATION,<1> venerates a relic,<1> sells a relic knowing it is wrong,,,,,,
53,VENGEANCE,TEMPTATION,<1> refuses to dwell on vengeance against <2>,<1> meditates on vengeance against <2> ,True,,,,,
54,BOAST,TEMPTATION,<1> remembers how small they are and refuses to boast of themselves,<1> boasts of themselves to <2>,,,,,,
55,IGNORE_GOOD_ACTION,TEMPTATION,<1> rejoices in the good action of <2>,<1> refuses to acknowledge <2>'s good action,True,,,,,
56,FLATTER,TEMPTATION,"<1> treats <2> with due respect, defeating the temptation to flatter them",<1> flatters <2>,,,,,,
57,CHASE_MONEY,TEMPTATION,"<1> remembers that virtue consists in not being possessed by any thing, and so continues to strive after virtuous poverty of spirit and body",<1> decides to pursue money immoderately,,,,,,
58,INSULTING_SARCASM,TEMPTATION,<1> treats <2> with due respect,<1> derides <2> with caustic sarcasm.,True,,,,,
59,SUING_EXCESSIVELY,TEMPTATION,"<1> sues <2> for his crime, but does so moderately and mercifully",<1> sues <2> excessively in order to destroy <2>.,,,,,,
60,PLANNING_GREAT_THINGS,ACTUAL_GRACE,<1> plans to obtain great virtues,<1> sinks into his own sloth and avoids the arduous good which he recognises,,,,,,
61,ILLNESS,ACTUAL_GRACE,<1> suffers an illness well,<1> becomes ill and complains,,,,,,
62,VISION,ACTUAL_GRACE,<1> has a vision,,,,True,,,
63,INNERLOCUTION,ACTUAL_GRACE,<1> hears the voice of God in his mind,,,,True,,,
64,FAST,ACTUAL_GRACE,<1> fasts,<1> indulges his appetites in food,,,,,,
65,VIGIL,ACTUAL_GRACE,<1> spends the night praying to mortify his senses and to obtain union with God,<1> sleeps despite the call to pray,,,,,,
66,AMBITION,TEMPTATION,<1> resists his ambition and pursues that which is his station in life,<1> falls into ambition and pursues those things above him wilfully,,,,,,
67,SCHADENFREUDE,TEMPTATION,<1> comforts <2> in his failings,<1> laughs at <2>'s misfortune,True,,,,,
68,REJOICE_IN_EVIL,TEMPTATION,<1> repents of his evil to a priest,<1> rejoices in the grave evils they have committed,,,,,,
69,COMPLASCENT,TEMPTATION,"<1> realises they aren't perfect, and redoubles their efforts to obtain virtue",<1> becomes complascent,,,,,,
70,REALISE_LOWLINESS,ACTUAL_GRACE,<1> realises their lowliness,<1> rejoices in their own glory,,,,,,
71,MASTURBATE,TEMPTATION,<1> resists the urge to masturbate,<1> masturbates,,,,,,
72,FORNICATE,TEMPTATION,<1> resists the urge to sleep with <2>,<1> fornicates with <2>,True,,,,,
73,STUDY,ACTUAL_GRACE,<1> studies that he may be able to greater love God and Neighbour,<1> indulges their curiousity and wastes his time in fruitless endeavours,,,,,,
74,FORGIVE,ACTUAL_GRACE,<1> forgives <2>,<1> refuses to forgive <2> in their heart,True,,,,,
75,BETTER_DECORUM,ACTUAL_GRACE,<1> takes care to moderate their dress and actions with other people,<1> dresses in an immodest way intentionally,,,,,,
76,SELL_POSSESSIONS,ACTUAL_GRACE,<1> sells all of their possessions to follow God,<1> refuses to sell all of their possessions when presented with the opportunity to follow God more completely,,,,,,
77,BULLY,TEMPTATION,<1> takes care of <2> in their weakness,<1> bullies and reviles <2> for who they are,True,,,,,
78,BEAT_UP,TEMPTATION,<1> resists the urge to beat up <2>,<1> beats up <2> for no good reason,True,,,,,
79,CRUDE_JOKE,TEMPTATION,<1> controls their desire to crack a crass joke,<1> cracks a crass joke,,,,,,
80,REPENTENCE,ACTUAL_GRACE,<1> repents and confesses their sins,<1> refuses to repent for their sin,,,,,,
81,HERESY,TEMPTATION,<1> insists on the teaching of Christ's church in the face of temptation,<1> decides that they know better than the church on a teaching,,,,,,
82,APOSTASY,TEMPTATION,"<1> resists the temptation to leave the faith, and keeps going",<1> leaves the faith,,,,,,
83,BLASPHEMY,TEMPTATION,<1> refuses to curse God and instead blesses God,<1> blasphemes God,,,,,,
84,HATREDOFGOD,TEMPTATION,<1> resists the urge to hate God for the frustration of his will and instead blesses God,<1> decides to hate God,,,,,,
85,ARGUE,TEMPTATION,<1> refuses to argue with <2>,<1> has a quarrel with <2>,True,,,,,
86,SCHISM,TEMPTATION,<1> remains under the church despite the failing that they perceive in it,<1> schisms from the Church,,,,,,
87,SCANDALISE,TEMPTATION,<1> refuses to sin in front of <2> to avoid scandal,<1> sins in front of <2> deliberately.,True,,,,,
